station_name,lat,lng,elevation,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
QUALICUM R FISH RESEARCH,49.39,-124.62,7.60,292.60,107.80,106.40,107.80,87.00,22.60,2.20,34.80,99.80,137.20,161.00,230.80,157.20,160.20,221.40,54.00,58.80,32.60,72.80,6.80,100.20,77.00,253.10,106.00,284.60,140.20,177.60,93.20,47.60,45.20,13.60,1.80,9.00,212.00,164.40,155.00,79.80,98.60,119.40,63.40,104.00,48.00,0.40,50.20,166.00,16.00,114.80,27.80,112.40,94.00,138.60,64.10,36.20,25.00,30.80,20.60,45.30,216.50,214.80,160.60
QUALICUM R FISH RESEARCH NORMALS,49.39,-124.62,7.60,211.00,139.90,120.60,79.40,51.30,45.30,26.00,34.60,46.30,147.20,218.10,189.80,211.00,139.90,120.60,79.40,51.30,45.30,26.00,34.60,46.30,147.20,218.10,189.80,211.00,139.90,120.60,79.40,51.30,45.30,26.00,34.60,46.30,147.20,218.10,189.80,211.00,139.90,120.60,79.40,51.30,45.30,26.00,34.60,46.30,147.20,218.10,189.80,211.00,139.90,120.60,79.40,51.30,45.30,26.00,34.60,46.30,147.20,218.10,189.80
SALTSPRING ST MARY'S L,48.89,-123.55,45.70,189.50,94.60,105.40,43.10,77.40,31.00,0.20,32.50,95.60,93.20,118.90,172.10,128.40,64.20,129.10,49.20,76.60,18.60,16.00,6.20,38.50,67.20,137.40,74.40,112.80,69.10,148.40,42.70,29.20,45.10,22.40,5.20,0.00,180.20,176.20,217.70,100.80,68.30,67.60,62.60,80.90,38.40,0.00,38.20,122.50,20.40,72.50,27.90,97.80,158.20,131.80,56.90,42.60,27.00,10.30,16.50,43.30,125.70,89.20,149.20
SALTSPRING ST MARY'S L NORMALS,48.89,-123.55,45.70,162.10,98.50,88.60,56.80,43.00,37.40,23.20,28.00,33.10,94.00,167.90,154.30,162.10,98.50,88.60,56.80,43.00,37.40,23.20,28.00,33.10,94.00,167.90,154.30,162.10,98.50,88.60,56.80,43.00,37.40,23.20,28.00,33.10,94.00,167.90,154.30,162.10,98.50,88.60,56.80,43.00,37.40,23.20,28.00,33.10,94.00,167.90,154.30,162.10,98.50,88.60,56.80,43.00,37.40,23.20,28.00,33.10,94.00,167.90,154.30
SHAWNIGAN LAKE,48.65,-123.63,159.00,259.80,93.00,118.20,98.60,99.00,28.40,1.60,28.60,114.20,118.00,169.60,250.20,184.80,138.40,190.40,81.20,75.20,20.80,19.80,10.20,67.20,74.00,186.80,104.40,238.40,126.80,169.00,55.80,43.00,44.20,19.20,3.40,0.60,200.20,205.00,238.40,97.40,93.00,89.80,88.40,85.60,43.80,0.80,38.20,159.40,19.40,108.40,31.20,153.00,217.20,178.40,54.80,51.20,9.20,9.20,13.60,54.60,199.20,141.60,181.00
SHAWNIGAN LAKE NORMALS,48.65,-123.63,159.00,215.30,134.70,119.20,71.00,50.60,40.00,23.20,27.90,33.30,114.70,225.40,194.60,215.30,134.70,119.20,71.00,50.60,40.00,23.20,27.90,33.30,114.70,225.40,194.60,215.30,134.70,119.20,71.00,50.60,40.00,23.20,27.90,33.30,114.70,225.40,194.60,215.30,134.70,119.20,71.00,50.60,40.00,23.20,27.90,33.30,114.70,225.40,194.60,215.30,134.70,119.20,71.00,50.60,40.00,23.20,27.90,33.30,114.70,225.40,194.60
SMITHERS A,54.82,-127.18,521.80,34.00,6.60,13.80,31.60,55.00,45.80,10.00,24.40,67.20,63.20,24.30,34.40,64.00,31.60,21.60,54.20,68.80,20.40,79.60,44.80,69.60,23.60,85.80,66.00,85.00,72.40,10.40,57.80,14.00,88.80,20.40,16.50,34.60,52.60,40.40,26.00,16.60,14.60,17.80,14.50,65.60,58.40,21.20,58.80,29.20,45.60,30.80,103.20,47.40,14.60,8.40,30.00,41.40,31.70,14.20,12.60,24.80,108.40,49.20,29.30
SMITHERS A NORMALS,54.82,-127.18,521.80,42.70,23.40,20.60,23.80,38.10,55.20,45.60,43.80,53.80,64.80,55.00,41.90,42.70,23.40,20.60,23.80,38.10,55.20,45.60,43.80,53.80,64.80,55.00,41.90,42.70,23.40,20.60,23.80,38.10,55.20,45.60,43.80,53.80,64.80,55.00,41.90,42.70,23.40,20.60,23.80,38.10,55.20,45.60,43.80,53.80,64.80,55.00,41.90,42.70,23.40,20.60,23.80,38.10,55.20,45.60,43.80,53.80,64.80,55.00,41.90
SPARWOOD,49.75,-114.88,1137.70,17.40,2.30,26.80,36.80,55.30,67.40,53.20,41.50,80.40,28.80,57.80,40.40,78.30,38.50,55.50,78.40,60.80,49.90,36.40,21.20,30.40,73.10,125.10,33.80,65.20,32.70,170.80,42.30,38.80,111.60,49.40,33.20,12.00,107.20,77.30,64.90,24.70,11.80,61.60,35.00,68.20,111.40,32.30,52.60,99.20,19.80,55.80,26.80,37.40,47.60,76.60,25.00,70.40,58.60,31.00,33.40,64.40,27.60,135.30,36.40
SPARWOOD NORMALS,49.75,-114.88,1137.70,53.90,40.90,44.20,41.40,60.40,69.30,46.80,34.90,47.40,48.80,72.10,53.40,53.90,40.90,44.20,41.40,60.40,69.30,46.80,34.90,47.40,48.80,72.10,53.40,53.90,40.90,44.20,41.40,60.40,69.30,46.80,34.90,47.40,48.80,72.10,53.40,53.90,40.90,44.20,41.40,60.40,69.30,46.80,34.90,47.40,48.80,72.10,53.40,53.90,40.90,44.20,41.40,60.40,69.30,46.80,34.90,47.40,48.80,72.10,53.40
STEWART A,55.94,-129.99,7.30,95.70,42.20,166.30,46.70,30.10,105.90,51.20,88.70,251.60,390.60,205.10,48.20,208.60,181.80,54.80,47.40,67.20,39.30,82.30,215.50,424.00,326.40,316.90,263.00,351.30,68.00,93.70,41.00,93.40,79.10,87.20,67.50,221.50,129.40,143.30,131.10,119.40,142.80,39.30,97.50,96.40,63.70,59.70,143.20,111.40,176.00,216.50,378.60,175.50,50.60,129.70,215.00,72.50,79.40,78.40,149.50,250.50,319.00,187.40,107.70
STEWART A NORMALS,55.94,-129.99,7.30,238.00,137.00,121.80,89.10,72.30,65.60,73.00,122.40,217.30,278.00,230.10,222.20,238.00,137.00,121.80,89.10,72.30,65.60,73.00,122.40,217.30,278.00,230.10,222.20,238.00,137.00,121.80,89.10,72.30,65.60,73.00,122.40,217.30,278.00,230.10,222.20,238.00,137.00,121.80,89.10,72.30,65.60,73.00,122.40,217.30,278.00,230.10,222.20,238.00,137.00,121.80,89.10,72.30,65.60,73.00,122.40,217.30,278.00,230.10,222.20
TERRACE A,54.47,-128.58,217.30,181.80,42.40,158.40,39.50,46.20,58.90,26.40,43.50,160.30,267.60,208.60,95.30,199.50,144.90,67.50,27.40,79.40,38.50,77.00,79.60,203.30,172.50,306.20,226.80,338.40,66.80,51.30,56.70,66.80,67.80,17.80,49.80,91.20,125.00,130.80,99.10,73.80,35.00,30.90,56.70,31.60,32.80,44.10,39.20,67.80,94.00,103.30,217.70,89.50,57.80,142.90,119.60,73.70,49.60,25.30,30.20,75.40,311.90,147.70,213.90
TERRACE A NORMALS,54.47,-128.58,217.30,173.50,110.60,92.30,73.70,56.40,50.80,52.80,61.20,111.50,190.30,187.10,180.90,173.50,110.60,92.30,73.70,56.40,50.80,52.80,61.20,111.50,190.30,187.10,180.90,173.50,110.60,92.30,73.70,56.40,50.80,52.80,61.20,111.50,190.30,187.10,180.90,173.50,110.60,92.30,73.70,56.40,50.80,52.80,61.20,111.50,190.30,187.10,180.90,173.50,110.60,92.30,73.70,56.40,50.80,52.80,61.20,111.50,190.30,187.10,180.90
TOFINO A,49.08,-125.77,24.50,463.80,285.60,340.20,284.80,161.20,125.60,4.60,58.60,256.80,404.80,389.80,561.00,423.40,351.30,421.20,237.40,199.00,44.70,67.60,61.00,249.90,303.20,376.00,347.20,697.50,323.40,440.40,245.10,120.60,194.00,43.60,13.80,27.00,445.80,350.00,427.00,220.60,469.60,388.60,286.80,177.40,77.40,8.60,176.00,275.20,95.80,303.80,169.60,216.00,237.80,342.80,296.20,85.00,68.20,63.40,7.00,108.00,535.20,435.00,362.20
TOFINO A NORMALS,49.08,-125.77,24.50,486.60,336.10,329.80,269.90,153.00,129.70,71.00,88.10,132.80,341.90,492.10,440.00,486.60,336.10,329.80,269.90,153.00,129.70,71.00,88.10,132.80,341.90,492.10,440.00,486.60,336.10,329.80,269.90,153.00,129.70,71.00,88.10,132.80,341.90,492.10,440.00,486.60,336.10,329.80,269.90,153.00,129.70,71.00,88.10,132.80,341.90,492.10,440.00,486.60,336.10,329.80,269.90,153.00,129.70,71.00,88.10,132.80,341.90,492.10,440.00
VANCOUVER INT'L A,49.20,-123.18,4.30,182.80,102.20,108.20,88.00,54.20,48.40,0.60,69.60,166.40,76.20,143.00,167.40,186.30,89.40,152.00,95.60,93.80,41.00,37.60,19.60,69.60,73.60,123.40,86.60,135.60,133.60,111.60,93.20,42.60,76.80,27.80,2.90,5.00,197.00,162.80,222.40,100.40,74.40,108.00,115.80,66.00,44.60,0.00,57.00,130.60,37.40,123.20,70.00,142.20,141.80,160.00,82.00,71.40,36.80,16.40,16.60,61.20,183.80,180.80,167.60
VANCOUVER INT'L A NORMALS,49.20,-123.18,4.30,168.40,104.60,113.90,88.50,65.00,53.80,35.60,36.70,50.90,120.80,188.90,161.90,168.40,104.60,113.90,88.50,65.00,53.80,35.60,36.70,50.90,120.80,188.90,161.90,168.40,104.60,113.90,88.50,65.00,53.80,35.60,36.70,50.90,120.80,188.90,161.90,168.40,104.60,113.90,88.50,65.00,53.80,35.60,36.70,50.90,120.80,188.90,161.90,168.40,104.60,113.90,88.50,65.00,53.80,35.60,36.70,50.90,120.80,188.90,161.90
VICTORIA INT'L A,48.65,-123.43,19.50,161.40,53.20,73.40,47.30,61.10,28.50,1.00,26.90,112.30,55.40,119.50,177.00,147.30,97.00,115.00,62.20,68.30,14.00,20.40,11.40,46.50,46.00,127.30,62.10,113.10,104.50,89.60,46.50,24.80,44.00,20.60,1.60,2.20,153.20,156.10,207.70,102.60,61.50,76.60,64.30,56.90,19.10,0.00,31.90,114.20,17.80,86.10,39.30,114.60,160.50,129.10,48.20,31.20,15.60,5.80,18.00,44.40,143.40,80.10,118.20
VICTORIA INT'L A NORMALS,48.65,-123.43,19.50,143.20,89.30,78.40,47.90,37.50,30.60,17.90,23.80,31.10,88.10,152.60,142.50,143.20,89.30,78.40,47.90,37.50,30.60,17.90,23.80,31.10,88.10,152.60,142.50,143.20,89.30,78.40,47.90,37.50,30.60,17.90,23.80,31.10,88.10,152.60,142.50,143.20,89.30,78.40,47.90,37.50,30.60,17.90,23.80,31.10,88.10,152.60,142.50,143.20,89.30,78.40,47.90,37.50,30.60,17.90,23.80,31.10,88.10,152.60,142.50
WILLIAMS LAKE A,52.18,-122.05,939.70,17.40,9.80,10.20,8.40,38.80,38.70,18.00,43.50,35.20,15.20,49.20,14.40,67.40,30.00,16.40,6.90,97.00,82.80,109.60,21.00,14.60,13.80,32.30,30.80,30.80,28.20,23.40,33.80,15.20,100.20,58.40,27.60,16.80,42.50,13.40,31.60,19.20,8.80,34.00,36.20,89.30,91.40,1.60,45.50,29.40,22.40,57.40,35.20,26.40,7.40,18.50,22.60,117.70,72.80,44.60,62.40,19.40,48.60,53.80,16.60
WILLIAMS LAKE A NORMALS,52.18,-122.05,939.70,33.10,18.60,17.90,22.20,39.10,58.60,52.70,46.10,41.80,41.00,42.20,37.60,33.10,18.60,17.90,22.20,39.10,58.60,52.70,46.10,41.80,41.00,42.20,37.60,33.10,18.60,17.90,22.20,39.10,58.60,52.70,46.10,41.80,41.00,42.20,37.60,33.10,18.60,17.90,22.20,39.10,58.60,52.70,46.10,41.80,41.00,42.20,37.60,33.10,18.60,17.90,22.20,39.10,58.60,52.70,46.10,41.80,41.00,42.20,37.60
